platform	key	product_name	articles	article_count	ranks
amazon	B071HW4LNR	【楽天1位】アウトドアテーブル 折りたたみ ベンチ 2脚 セット 幅 90cm アルミ 軽量 レジャーテーブル アウトドア テーブル セット イス チェア ベンチ 分離 分割 タイプ ローテーブル ロータイプ キャンプ アウトドア 運動会 FIELDOOR 1年保証 ■[送料無料]	camp-table-folding;camp-table-set	2	4;1
amazon	B071VH9BL7	キャンピングムーン 折りたたみ火起し器 FD	charcoal-starter	1	3
amazon	B072FMZZK6	OSOTO ゆらふわモック ロングタイプ 自立式ハンモック 高身長対応 折りたたみ スタンド	camp-hammock	1	5
amazon	B0756JFNN6	キャプテンスタッグ CSブラックラベル 背付きベンチ UC-1660	captain-stag-chair	1	5
amazon	B076B85VWP	Pin-Eagle 風防板 リフレクター（60×120cm・折りたたみ）	camp-windscreen	1	1
amazon	B077N2M27N	アウトドアチェア【ポンコタン】ウルトラライト ハイバックチェア 超軽量 折りたたみ コンパクト キャンプ椅子	camp-chair-highback;camp-chair-lightweight	2	1;3
amazon	B077Q99XBS	SOTO レギュレーターストーブ ST-310	soto-burner	1	2
amazon	B0784B94T2	送料込み ミズノ mizuno ベルグテックEXストームセイバーVI レインスーツ（メンズ） A2MG8A01レインウェア上下 雨具アウトドア 登山	camp-rainwear	1	2
amazon	B0787TR5VY	キャプテンスタッグ カマド スマートグリル B5型(3段調節) UG-42	captain-stag-bonfire	1	2
amazon	B0788F6Z6Z	「お買い物マラソン」Moon Lence アウトドアチェア キャンプ椅子 折りたたみ コンパクト 超軽量907g イス 収納バッグ付き ハイキング お釣り 登山 耐荷重150kg CH-7	camp-chair-lightweight	1	4
amazon	B0788RWCKD	キャプテンスタッグ カマド スマートグリル B6型3段調節 UG-43	captain-stag-bonfire	1	4
amazon	B078S61SMD	DOD グッドラックソファ CS2-500 2人掛け ワンタッチ 車載棚 耐荷重150kg（BK/TN/KH カラー展開）	dod-chair	1	1
amazon	B0791VGXB1	DOD ワイドキャンピングベッド コット ブラック CB1-100-BK 折りたたみ レジャー アウトドア キャンプ BBQ	solo-camp-cot	1	3
amazon	B0792FP76X	ロゴス the ピラミッドTAKIBI L 焚き火台 81064162	logos-bonfire	1	1
amazon	B0792GT2DB	ロゴス　アウトドア用品バーベキューグリル・コンロ たき火台 LOGOS The ピラミッドTAKIBI M　81064163	day-camp-grill;logos-bonfire	2	5;2
amazon	B07956Y179	ロゴス(LOGOS) 丸洗いスランバーシュラフ 寝袋	washable-sleeping-bag	1	1
amazon	B079572465	LOGOS ロゴス 丸洗いスランバーシュラフ・2 No.72602010 冬用 封筒型 連結可能	logos-sleeping-bag	1	4
amazon	B079C1K6DH	コールマン インフィニティチェア ベージュ 2000033139	coleman-chair;infinity-chair	2	1;1
amazon	B079LTXKW1	Helinox ヘリノックス チェアワン Chair One	helinox-chair	1	1
amazon	B079MC8SRP	Helinox ヘリノックス チェアツー Chair Two ハイバック	helinox-chair	1	4
amazon	B079YGPQYQ	【★激アツ価格＆600円クーポン 】 楽天1位 寝袋 防災 来客用 最大限界温度-15度 コンパクト オールシーズン ねぶくろん 230T 1.8kg 撥水 シュラフ 封筒型 軽量 洗える 収納 便利 トラック 車中泊 布団 ふとん 仮眠 地震 停電 キャンプ 夏用 シングル 送料無料	sleeping-bag-summer-cospa;sleeping-bag-temperature-guide	2	5;2
amazon	B07BRSY4X1	＼レビューで1000円クーポン!／ 組合せて使える 木製 ヘキサセンターテーブル 96 （大テーブル 2個組） 収納バッグ付 CSクラシックス ヘキサゴンテーブル CAPTAIN STAG キャンプ アウトドア バーベキュー ローテーブル cs classics	group-camp-table	1	5
amazon	B07BYHSY8D	Groovy 自立式ハンモック 3way 折りたたみ ハンモックチェア スタンド	camp-hammock	1	2
amazon	B07C2NRWX8	ガオバブ Gaobabu アルコールバーナー	alcohol-stove	1	2
amazon	B07C54NYT5	ジェントス フィラメントLEDランタン EX-400F 400ルーメン 暖色 ダイヤル式調光 乾電池式 防滴	gentos-light	1	5
amazon	B07D2JVK39	ベアボーンズ ビーコンライト LED 2.0 20230005	barebones-light	1	3
amazon	B07D5FM7MC	笑's コンパクト焚き火グリル 「B-GO」 3点セット （B-GO本体+専用グリルプレート+専用ハードロストル） バーベキューグリル コンパクト焚き火グリル 焚き火 BBQ キャンプ ソロキャンプ 料理 焚き火料理 ステンレス 持ち運び簡単 組立簡単 バーベキュー アウトドア 登山	camp-grill-plate	1	5
amazon	B07D6NTYKL	コールマン (Coleman) リゾートチェア(オリーブ) キャンプ用品 ファミリーチェア 2000033560	family-camp-chair	1	4
amazon	B07DL5L6R2	イスカ アルファライト700X インディゴ 111803	isuka-sleeping-bag	1	2
